"year","ubigeo","enfermedad","n","pop_landscan","malaria_incidence"
2015,"160802",0,1,2177.6,0.459221160911095
2015,"160803",0,193,3694.1,52.245472510219
2015,"160803",1,2,3694.1,0.541403860209523
2016,"160101",0,1601,198547.7,8.06355349369446
2016,"160101",1,777,198547.7,3.91341727957564
2016,"160102",0,1232,6680.4,184.420094605113
2016,"160102",1,339,6680.4,50.7454643434525
2016,"160103",0,98,4770.6,20.5424894143294
2016,"160103",1,7,4770.6,1.4673206724521
2016,"160104",0,58,3957.1,14.6571984534129
2016,"160104",1,45,3957.1,11.3719643173031
2016,"160105",0,25,2827.4,8.84204569569216
2016,"160105",1,6,2827.4,2.12209096696612
2016,"160106",0,722,3897.9,185.227943251494
2016,"160106",1,333,3897.9,85.4306164858
2016,"160107",0,3407,8978.7,379.453595732122
2016,"160107",1,1063,8978.7,118.391303863588
2016,"160108",0,1252,108551.4,11.5337066127199
2016,"160108",1,301,108551.4,2.77287994443185
2016,"160110",0,1291,2808.2,459.725090805498
2016,"160110",1,256,2808.2,91.161598176768
2016,"160112",0,404,29958.5,13.4853213612164
2016,"160112",1,79,29958.5,2.63698115726755
2016,"160113",0,5677,127599,44.4909442863972
2016,"160113",1,1245,127599,9.7571297580702
2016,"160201",0,317,64148,4.94169732493608
2016,"160201",1,7,64148,0.109122653862942
2016,"160202",0,779,2283.5,341.142982264068
2016,"160202",1,14,2283.5,6.13093934749288
2016,"160205",0,92,7698.7,11.9500694922519
2016,"160205",1,3,7698.7,0.389676179095172
2016,"160206",0,144,18053.6,7.97624850445341
2016,"160206",1,38,18053.6,2.10484335534187
2016,"160210",0,5,2226.4,2.24577793747754
2016,"160211",0,68,5244.1,12.966953338037
2016,"160301",0,1061,16252.4,65.282665944722
2016,"160301",1,61,16252.4,3.75329182151559
2016,"160302",0,75,5572.7,13.4584671703124
2016,"160302",1,20,5572.7,3.58892457874998
2016,"160303",0,4461,10995.3,405.718807126681
2016,"160303",1,1675,10995.3,152.337817067292
2016,"160304",0,2571,20805.4,123.573687600335
2016,"160304",1,1037,20805.4,49.8428292654792
2016,"160305",0,1718,9085.8,189.086266481763
2016,"160305",1,1044,9085.8,114.904576371921
2016,"160401",0,1192,13583.6,87.7528784710975
2016,"160401",1,104,13583.6,7.65629141022998
2016,"160402",0,162,12638.1,12.8183825100292
2016,"160402",1,8,12638.1,0.633006543705146
2016,"160403",0,671,13083.6,51.2855788926595
2016,"160403",1,232,13083.6,17.7321226573726
2016,"160404",0,111,14033.1,7.90987023537208
2016,"160404",1,6,14033.1,0.427560553263356
2016,"160501",0,31,14915.8,2.07833304281366
2016,"160501",1,7,14915.8,0.469301009667601
2016,"160502",0,37,2525.9,14.6482441901896
2016,"160502",1,5,2525.9,1.97949245813373
2016,"160503",0,5,1295.3,3.86010962711341
2016,"160504",0,3,4770.7,0.628838535225439
2016,"160505",0,2,4639.6,0.431071644107251
2016,"160506",0,5,2638.2,1.89523159730119
2016,"160506",1,1,2638.2,0.379046319460238
2016,"160507",0,15,1023.2,14.659890539484
2016,"160507",1,4,1023.2,3.90930414386239
2016,"160508",0,289,7552.5,38.2654750082754
2016,"160508",1,43,7552.5,5.69347898047004
2016,"160509",0,7,1135.6,6.16414230362804
2016,"160509",1,4,1135.6,3.52236703064459
2016,"160510",0,8,4879.5,1.63951224510708
2016,"160510",1,5,4879.5,1.02469515319193
2016,"160511",0,259,7557.8,34.269231787028
2016,"160511",1,32,7557.8,4.23403635978724
2016,"160601",0,1,26673.6,0.0374902525343411
2016,"160604",0,1,5039.3,0.19844025955986
2016,"160605",0,2,21217.6,0.0942613679209713
2016,"160701",0,326,12918.5,25.2351279173279
2016,"160701",1,52,12918.5,4.02523512791733
2016,"160702",0,573,2846.5,201.299841911119
2016,"160703",0,229,10675.6,21.4507849675896
2016,"160703",1,1,10675.6,0.0936715500768107
2016,"160704",0,252,6360.7,39.6182810068074
2016,"160704",1,61,6360.7,9.59013945006053
2016,"160705",0,1635,8900.5,183.697545081737
2016,"160705",1,2004,8900.5,225.155890118533
2016,"160706",0,5916,8311.8,711.759185735942
